========================================================================================================================
QUIMICORP PERU S.A.C. — CATALOGO MAESTRO CONSOLIDADO OFICIAL (INVENTARIO FISICO 2026)
FECHA DE CORTE: 02/09/2026 | ACTUALIZADO: 07/09/2026
ESTANDAR: 281 PRODUCTOS CANONICOS | STOCK FISICO TOTAL SUMADO | ORDEN ALFABETICO (A-Z) POR FAMILIAS
========================================================================================================================

========================================================================================================================
SECCION 1: MATERIAS PRIMAS E INSUMOS QUIMICOS GENERALES (INS-001 AL INS-164)
========================================================================================================================
SKU      | PRODUCTO                               | STOCK TOTAL    | ESTADO FISICO        | CATEGORIA
FRAG-022 | FRAGANCIA DESIRE MAGNET                | 60 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-023 | FRAGANCIA DIGIOMEN                     | 44 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-024 | FRAGANCIA DRAKYA                       | 94 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-025 | FRAGANCIA ENCAPSULADO                  | 660 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-026 | FRAGANCIA EUCALIPTO                    | 981 g          | LIQUIDO              | FRAGANCIAS
FRAG-027 | FRAGANCIA FANTASY PF. (NORPERU)        | 47 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-028 | FRAGANCIA FLOREX                       | 2 g            | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-029 | FRAGANCIA FRESA                        | 3,966 g        | LIQUIDO              | FRAGANCIAS
FRAG-030 | FRAGANCIA FRUTOS ROJOS                 | 400 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-031 | FRAGANCIA FUN MINISTRY                 | 99 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-032 | FRAGANCIA GODINA                       | 4,462 g        | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-033 | FRAGANCIA GREEN TEA                    | 2,394 g        | LIQUIDO              | FRAGANCIAS
FRAG-034 | FRAGANCIA INVICTUS                     | 98 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-035 | FRAGANCIA INVICTUS INTENSE             | 46 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-036 | FRAGANCIA JAZMIN                       | 5,734 g        | LIQUIDO              | FRAGANCIAS
FRAG-037 | FRAGANCIA KING OF PARTIES              | 100 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
